time,pwm,distance,angle,control,velocity,target,target_center_offset
1704376063962229583,0,0.4086506962776184,0,0,0,False,0
1704376064066727455,0,0.45805254578590393,0,0,0.0,False,0
1704376064161102762,0,0.5327890515327454,533020,0,0.8153452277183533,True,-32
1704376064261431138,0,0.49382203817367554,501485,0,0.0,True,-38
1704376064361043262,0,0.4884410798549652,526123,0,0.0,True,-29
1704376064461711024,0,0.4784151613712311,496086,0,0.0,True,-37
1704376064561249038,0,0.4697631001472473,532599,0,0.0,True,-32
1704376064661656673,0,0.44707798957824707,510841,0,0.0,True,-33
1704376064760871135,0,0.4522136151790619,528910,0,0.0,True,-33
1704376064861341065,0,0.48849016427993774,499404,0,0.0,True,-36
1704376064961054929,0,0.49878594279289246,510554,0,0.0,True,-33
1704376065061301232,0,0.5003888010978699,532134,0,0.0,True,-32
1704376065161462388,0,0.4938547611236572,513309,0,0.0,True,-37
1704376065261471064,0,0.4774501919746399,543171,0,0.0,True,-29
1704376065361515851,0,0.4584287106990814,492904,0,0.0,True,-37
1704376065461190178,0,0.4637606143951416,509243,0,0.0,True,-38
1704376065561214687,0,0.48023879528045654,512884,0,0.0,True,-37
1704376065661442787,0,0.48474472761154175,492503,0,0.0,True,-37
1704376065761331538,0,0.49122151732444763,512670,0,0.0,True,-37
1704376065861411991,0,0.4892997443675995,512559,0,0.0,True,-37
1704376065961091226,0,0.49046915769577026,501220,0,0.0,True,-37
1704376066060536352,0,0.4923500418663025,519862,0,0.0,True,-32
1704376066161182299,0,0.49513867497444153,512250,0,0.0,True,-37
1704376066261251437,0,0.4891361892223358,529429,0,0.0,True,-24
1704376066362235548,0,0.4854970872402191,545774,0,0.0,True,-28
1704376066461365380,0,0.4933232069015503,511971,0,0.0,True,-37
1704376066561062967,0,0.49247270822525024,500642,0,0.0,True,-37
1704376066661188808,0,0.48984766006469727,511759,0,0.0,True,-37
1704376066761510018,717367,0.4950160086154938,511652,717367.5,0.0,True,-37
1704376066861861598,726443,0.49625903367996216,511541,726443.6875,0.0,True,-37
1704376066961403537,585000,0.4578317403793335,539183,585000.0,0.04435756802558899,True,-26
1704376067061740636,723334,0.44048672914505005,497980,723334.9375,0.0,True,-28
1704376067161204114,715387,0.4111040234565735,527778,715387.1875,1.2014787197113037,True,-29
1704376067262342815,585000,0.3534345030784607,553161,585000.0,1.4127954244613647,True,-21
1704376067369145089,715268,0.32565465569496155,532139,715269.0,1.7000625133514404,True,-23
1704376067461296270,660000,0.27906596660614014,546315,660000.0,1.657131314277649,True,-18
1704376067562095808,585000,0.22426681220531464,547044,585000.0,1.4937628507614136,True,-13
